DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
01/02/2024;POOR THINGS;E2300389100000;FICÇÃO;ESTADOS UNIDOS;737739;R$ 15.646.611,72;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
31/01/2024;PET SHOP BOYS DREAMWORLD: THE GREATEST HITS;E2400023100000;VÍDEOMUSICAL;INGLATERRA;870;R$ 25.692,96;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.;749;01.289.530/0001-64
25/01/2024;ANATOMY OF A FALL;E2300448000000;FICÇÃO;FRANÇA;185694;R$ 4.026.638,89;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
25/01/2024;ANYONE BUT YOU;E2300442300000;FICÇÃO;ESTADOS UNIDOS;2113149;R$ 38.735.880,66;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
25/01/2024;BIZARROS PEIXES DAS FOSSAS ABISSAIS;B2300031800000;ANIMAÇÃO;BRASIL;2702;R$ 26.380,70;BOULEVARD FILMES LTDA;17484;12.126.484/0001-07
25/01/2024;NAHUEL E O LIVRO MAGICO;B2300440200000;ANIMAÇÃO;BRASIL;80;R$ 1.671,28;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;11868;08.346.733/0001-94
25/01/2024;NOSSO LAR 2 - OS MENSAGEIROS;B2300576500000;FICÇÃO;BRASIL;351;R$ 4.210,00;CINE CAXAMBU LTDA;53644;50.552.809/0001-02
25/01/2024;NOSSO LAR 2 - OS MENSAGEIROS;B2300576500000;FICÇÃO;BRASIL;1649370;R$ 32.362.151,80;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
25/01/2024;PAST LIVES;E2300151200000;FICÇÃO;CORÉIA DO SUL;139014;R$ 2.862.613,13;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
25/01/2024;PRÍNCIPE LU E A LENDA DO DRAGÃO;B2300550300000;FICÇÃO;BRASIL;570;R$ 9.816,60;H2O DISTRIBUIDORA DE FILMES LTDA;21541;15.372.472/0001-42
